,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Maximum absolute deviation,0.0069077759981155396,0.014810040593147278,0.0457933247089386,0.024547144770622253,0.023694882169365883,0.011170819401741028,0.013109881430864334,0.010908521711826324,0.01610267348587513
Mean absolute deviation,0.0031756903044879436,0.005093646701425314,0.013077497482299805,0.01048169657588005,0.0077207074500620365,0.0053453752771019936,0.005485291592776775,0.005072244442999363,0.00405540969222784
Maximum relative deviation (%),224.77496337890625,165.1907501220703,194.079833984375,78.69609069824219,90.98487854003906,397.0856628417969,27.24095916748047,770.517578125,57.2643928527832
Mean relative deviation (%),25.213970184326172,38.064151763916016,51.55735397338867,18.45840072631836,16.942169189453125,46.01374053955078,9.21303653717041,92.29191589355469,9.566288948059082
Correlation,0.9996508871624755,0.9917059463604173,0.980633363604363,0.9950331998630305,0.9968588436674618,0.9989069108298345,0.9975935801127985,0.9981671862873444,0.9957044408424753
