,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Area between predicted and true coupling function,0.3584149244582079,1.5139566651758116,1.2549040308302337,0.6359840908752938,0.3366185327131722,0.20487886193819468,0.17754578518748698,0.12390657576889588,0.48738939765885736
Area between true coupling function and axis,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704
Area ratio,0.08960380495835353,0.378489478212648,0.31372626625394673,0.15899615374987097,0.08415470253140989,0.05121975769549746,0.04438648287641917,0.030976669470548737,0.12184744983097355
