,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Number of errors,0.0,1.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0
Error rate,0.0,2.2222222222222223,4.444444444444445,4.444444444444445,4.444444444444445,8.88888888888889,4.444444444444445,2.2222222222222223,4.444444444444445
Area under ROC curve,1.0,0.972972972972973,0.8796296296296295,0.9149797570850203,0.9226190476190477,0.8399999999999999,0.8986175115207375,0.888888888888889,0.9682539682539683
Best f1 score,1.0,0.9411764705882353,0.8888888888888888,0.9473684210526315,0.9523809523809523,0.9310344827586207,0.967741935483871,0.9863013698630138,0.9767441860465117
Threshold for best f1 score,0.06197120249271393,0.40982726216316223,0.28478023409843445,0.35000020265579224,0.3643256425857544,0.4021168351173401,0.3534834384918213,0.1884937882423401,0.01563357003033161
Threshold range for >90.0% of best f1 score,"[0.0557546, 0.061971202]","[0.29244617, 0.94200623]","[0.18657598, 0.9426373]","[0.13651028, 0.89376533]","[0.15025114, 0.7987947]","[0.06301848, 0.80345505]","[0.08000244, 0.82134736]","[0.035971753, 0.86477995]","[0.01563357, 0.851493]"
