,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Area between predicted and true coupling function,2.1190257969109467,0.46415089343653015,0.5670758492733331,1.4327434565272394,0.24616464298844823,0.05371457451593148,0.041951217005235894,0.15175296916815223,0.13538290843199546
Area between true coupling function and axis,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704
Area ratio,0.529756885808107,0.1160378189875903,0.14176907915229756,0.358186159318244,0.06154121146412133,0.013428654695732914,0.010487812894468429,0.03793827355752221,0.033845755000778834
