,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Number of errors,2.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
Error rate,4.444444444444445,6.666666666666667,6.666666666666667,6.666666666666667,2.2222222222222223,0.0,0.0,2.2222222222222223,2.2222222222222223
Area under ROC curve,0.8376068376068376,0.7685185185185185,0.7399999999999999,0.8228571428571428,0.9473684210526315,1.0,1.0,0.9783950617283951,0.976190476190476
Best f1 score,0.8333333333333334,0.8,0.8235294117647058,0.8421052631578948,0.9811320754716981,1.0,1.0,0.9859154929577464,0.9879518072289156
Threshold for best f1 score,0.6336352229118347,0.3154892027378082,0.44092509150505066,0.4651266634464264,0.35570836067199707,0.07126734405755997,0.07544636726379395,0.27544355392456055,0.26979127526283264
Threshold range for >90.0% of best f1 score,"[0.5157965, 0.6336352]","[0.23588696, 0.3154892]","[0.23785038, 0.94678557]","[0.30569565, 0.6142546]","[0.08314603, 0.8724054]","[0.061455663, 0.94134223]","[0.057387795, 0.93474865]","[0.00578374, 0.93538404]","[0.021482935, 0.9281332]"
