,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Maximum absolute deviation,0.00994710624217987,0.055366866290569305,0.018067533150315285,0.026229217648506165,0.01350550726056099,0.007559910416603088,0.005247324705123901,0.009384065866470337,0.01390974223613739
Mean absolute deviation,0.003685327945277095,0.0189254991710186,0.0070407032035291195,0.01199408620595932,0.006351861171424389,0.003488124581053853,0.0024310671724379063,0.0028779921121895313,0.0038548181764781475
Maximum relative deviation (%),115.65681457519531,387.9352722167969,43.16545486450195,25.942686080932617,265.8608093261719,14.258090019226074,4.819296360015869,61.9738655090332,308.6600036621094
Mean relative deviation (%),19.731735229492188,52.411903381347656,14.882150650024414,14.128328323364258,33.578453063964844,4.56390380859375,2.5974299907684326,12.063552856445312,41.974491119384766
Correlation,0.9960649521597864,0.9815193643082724,0.9976166462846349,0.9959575444984131,0.9968499759620578,0.9997336073885016,0.999865439082849,0.9993046511646596,0.9944425892378673
