,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Area between predicted and true coupling function,2.0118960060130577,1.6086277984825155,0.8163215078143603,0.15266037117381848,0.4980132647605522,0.040269607751427294,0.046944849880838344,0.10230022022659566,0.8198976701169303
Area between true coupling function and axis,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704
Area ratio,0.502974416011811,0.4021572810443052,0.2040805451393416,0.03816512424588973,0.12450341879521999,0.010067410234556321,0.011736222142201297,0.025575076133441888,0.20497458645177657
