,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Maximum absolute deviation,0.011366715654730797,0.036332909017801285,0.017770715057849884,0.009658094495534897,0.014600202441215515,0.008980102837085724,0.0032726209610700607,0.0034639090299606323,0.022149566560983658
Mean absolute deviation,0.0037157610058784485,0.009774414822459221,0.005736989434808493,0.0038776728324592113,0.00851490255445242,0.0031830526422709227,0.0014796142932027578,0.001510063768364489,0.009808176197111607
Maximum relative deviation (%),37.89003372192383,51.92447280883789,162.63772583007812,40.450321197509766,142.1600799560547,171.14186096191406,31.46607208251953,4.13717794418335,363.1434020996094
Mean relative deviation (%),9.826530456542969,14.073925971984863,30.8416690826416,10.846611976623535,24.215320587158203,30.67586898803711,6.656195640563965,1.9598686695098877,58.33811569213867
Correlation,0.9982266761238565,0.9805862458347635,0.9969720046506715,0.998476712271223,0.9977088446832062,0.9993027764064647,0.9998279956541111,0.9999244277473652,0.9846151645467404
