,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Number of errors,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
Error rate,2.2222222222222223,4.444444444444445,2.2222222222222223,2.2222222222222223,2.2222222222222223,0.0,0.0,0.0,8.88888888888889
Area under ROC curve,0.9761904761904762,0.875,0.967741935483871,0.9545454545454546,0.9565217391304347,1.0,1.0,1.0,0.9047619047619047
Best f1 score,0.8571428571428571,0.875,0.9655172413793104,0.9767441860465117,0.9777777777777777,1.0,1.0,1.0,0.9534883720930233
Threshold for best f1 score,0.22209517657756805,0.34713903069496155,0.2995389699935913,0.22908295691013336,0.2102571576833725,0.0681268498301506,0.07120229303836823,0.066922627389431,0.024407796561717987
Threshold range for >90.0% of best f1 score,"[0.22209518, 0.22209518]","[0.322203, 0.9401368]","[0.15838121, 0.9450884]","[0.0581825, 0.87634736]","[0.14817607, 0.87639296]","[0.063242614, 0.93564135]","[0.050533548, 0.93297666]","[0.009472914, 0.93481195]","[0.024407797, 0.7825396]"
