,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Area between predicted and true coupling function,0.5863384554911352,2.0458006333154444,0.6476520032578643,0.6375359134385077,0.08007683050009043,0.08973809755185999,0.08661641815718493,0.15141810900367464,0.29863664175957766
Area between true coupling function and axis,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704
Area ratio,0.14658473467539998,0.5114505798227378,0.16191313424943973,0.1593841097103946,0.02001922412315697,0.022434542876598743,0.02165412238477408,0.03785455844741197,0.07465922196764732
