,"sigma_freq = 0.1, run =0","sigma_freq = 0.1, run =1","sigma_freq = 0.1, run =2","sigma_freq = 0.1, run =3","sigma_freq = 0.1, run =4","sigma_freq = 0.2, run =0","sigma_freq = 0.2, run =1","sigma_freq = 0.2, run =2","sigma_freq = 0.2, run =3","sigma_freq = 0.2, run =4","sigma_freq = 0.30000000000000004, run =0","sigma_freq = 0.30000000000000004, run =1","sigma_freq = 0.30000000000000004, run =2","sigma_freq = 0.30000000000000004, run =3","sigma_freq = 0.30000000000000004, run =4","sigma_freq = 0.4, run =0","sigma_freq = 0.4, run =1","sigma_freq = 0.4, run =2","sigma_freq = 0.4, run =3","sigma_freq = 0.4, run =4","sigma_freq = 0.5, run =0","sigma_freq = 0.5, run =1","sigma_freq = 0.5, run =2","sigma_freq = 0.5, run =3","sigma_freq = 0.5, run =4","sigma_freq = 0.6000000000000001, run =0","sigma_freq = 0.6000000000000001, run =1","sigma_freq = 0.6000000000000001, run =2","sigma_freq = 0.6000000000000001, run =3","sigma_freq = 0.6000000000000001, run =4","sigma_freq = 0.7000000000000001, run =0","sigma_freq = 0.7000000000000001, run =1","sigma_freq = 0.7000000000000001, run =2","sigma_freq = 0.7000000000000001, run =3","sigma_freq = 0.7000000000000001, run =4","sigma_freq = 0.8, run =0","sigma_freq = 0.8, run =1","sigma_freq = 0.8, run =2","sigma_freq = 0.8, run =3","sigma_freq = 0.8, run =4","sigma_freq = 0.9, run =0","sigma_freq = 0.9, run =1","sigma_freq = 0.9, run =2","sigma_freq = 0.9, run =3","sigma_freq = 0.9, run =4","sigma_freq = 1.0, run =0","sigma_freq = 1.0, run =1","sigma_freq = 1.0, run =2","sigma_freq = 1.0, run =3","sigma_freq = 1.0, run =4","sigma_freq = 1.1, run =0","sigma_freq = 1.1, run =1","sigma_freq = 1.1, run =2","sigma_freq = 1.1, run =3","sigma_freq = 1.1, run =4","sigma_freq = 1.2000000000000002, run =0","sigma_freq = 1.2000000000000002, run =1","sigma_freq = 1.2000000000000002, run =2","sigma_freq = 1.2000000000000002, run =3","sigma_freq = 1.2000000000000002, run =4","sigma_freq = 1.3, run =0","sigma_freq = 1.3, run =1","sigma_freq = 1.3, run =2","sigma_freq = 1.3, run =3","sigma_freq = 1.3, run =4","sigma_freq = 1.4000000000000001, run =0","sigma_freq = 1.4000000000000001, run =1","sigma_freq = 1.4000000000000001, run =2","sigma_freq = 1.4000000000000001, run =3","sigma_freq = 1.4000000000000001, run =4","sigma_freq = 1.5, run =0","sigma_freq = 1.5, run =1","sigma_freq = 1.5, run =2","sigma_freq = 1.5, run =3","sigma_freq = 1.5, run =4","sigma_freq = 1.6, run =0","sigma_freq = 1.6, run =1","sigma_freq = 1.6, run =2","sigma_freq = 1.6, run =3","sigma_freq = 1.6, run =4","sigma_freq = 1.7000000000000002, run =0","sigma_freq = 1.7000000000000002, run =1","sigma_freq = 1.7000000000000002, run =2","sigma_freq = 1.7000000000000002, run =3","sigma_freq = 1.7000000000000002, run =4","sigma_freq = 1.8, run =0","sigma_freq = 1.8, run =1","sigma_freq = 1.8, run =2","sigma_freq = 1.8, run =3","sigma_freq = 1.8, run =4","sigma_freq = 1.9000000000000001, run =0","sigma_freq = 1.9000000000000001, run =1","sigma_freq = 1.9000000000000001, run =2","sigma_freq = 1.9000000000000001, run =3","sigma_freq = 1.9000000000000001, run =4","sigma_freq = 2.0, run =0","sigma_freq = 2.0, run =1","sigma_freq = 2.0, run =2","sigma_freq = 2.0, run =3","sigma_freq = 2.0, run =4"
Area between predicted and true coupling function,0.04698266122178654,0.29072942075639163,0.3111486302796611,0.037078596747755085,0.27562795408876234,0.22773272540682105,0.1158340378491561,0.26626618877272484,0.18316834364060813,0.12375772677425739,0.40567038906712155,0.5053659776779044,0.6094737723512025,0.4053060685087808,0.13189573897631401,0.21385043732460476,0.2968144825420184,0.3453515808757134,0.32076971215657746,0.5269759100205591,0.1529050059180856,0.10664527195661555,0.12375523977064787,0.16209122954476562,0.14031016046907446,0.9700693794104622,0.1543055967082369,0.41642856288391705,0.20701275056705817,0.31168777605353365,0.15018607195727296,0.2642563539071934,0.27700941772852594,0.15280085992581127,0.2517103915176153,0.12802933870582694,0.48490414175295543,0.6142056042523536,0.19455809254579748,0.3201496868225656,0.11060895477768407,0.14357243880850662,0.13643999825152875,0.15576003926881898,0.1563923950219967,0.29641244297736347,0.26114531053249734,0.6921406437696278,0.2140281542503891,1.0088394828128162,0.4640939692247399,0.3640110721401877,0.9611213532660865,0.2708602996085801,0.37598781517382474,0.4695114064921508,0.14101162287341046,0.3083555286504893,0.11596379846641432,0.14630687405237108,0.18316657671342523,0.751551080639529,0.7444592189749456,0.1862532516646246,0.22661903258852817,0.19755924738769354,0.22499764994836824,0.14586565289185005,0.17955014509239994,0.26841978911049835,0.23346804689920062,0.20809417927263724,0.28910515552151295,0.15809279218848643,0.20825748530426924,0.2132817599938143,0.14350494256405372,0.12331219587251879,0.1291690592827488,0.1699951930728122,0.555110077917486,0.18382197466587438,0.5674301488506948,0.9974999528875729,0.47047731131943266,0.6383232215395124,0.7331384209528212,0.2688310964419557,0.525597831336736,0.8879288149215565,0.9119254229497828,0.8057791193847832,0.3677595882159129,0.3529267920152386,1.2388957459617747,0.12989845818149284,0.22212847962398957,0.17408729232908776,0.14683619523173588,0.13292805188020035
Area between true coupling function and axis,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704
Area ratio,0.011745674985228573,0.07268241508773546,0.07778722167549833,0.009269656826198057,0.06890704530949088,0.056933228271208426,0.02895853332743838,0.0665666020516881,0.04579212364810851,0.03093945719122193,0.10141768084656924,0.12634159853942875,0.15236856865695866,0.10132660063192352,0.03297396191840109,0.05346265339050302,0.07420368178784022,0.08633796637130473,0.0801924941269475,0.13174408607736116,0.03822628298235831,0.026661339961152712,0.030938835439807157,0.04052284078165508,0.03507756902520447,0.24251754471485862,0.0385764309684582,0.1041072265172619,0.05175323029235588,0.07792200823004604,0.03754654893197642,0.06606414292122134,0.06925241150405309,0.03820024646283266,0.06292764973899709,0.03200736105418946,0.12122613534246375,0.15355152760714016,0.048639563221022294,0.08003748766570146,0.02765226148305271,0.03589313928218584,0.034110027673453114,0.038940041908260795,0.03909813097683873,0.07410317181384474,0.06528638143658276,0.17303530354332242,0.05350708265856391,0.2522100785532055,0.11602358792291471,0.09100284303181615,0.24028053633521348,0.06771513070717113,0.09399703125777956,0.11737794835591561,0.035252934770809936,0.07708894569274598,0.028990973508487363,0.03657674865652441,0.04579168191594874,0.18788792500105952,0.18611495812378584,0.04656335128969256,0.056654804837182396,0.04938985254982068,0.05624945884309087,0.03646644327548988,0.0448875732656033,0.0671050025798352,0.0583670598259448,0.05202358769155612,0.07227634844437035,0.039523230618791975,0.05206441423310987,0.05332048394064148,0.03587626520716645,0.03082807437399508,0.0322922914332352,0.04249883329211094,0.1387776338480421,0.0459555315390919,0.14185765411963389,0.24937519373562478,0.1176194247617403,0.15958093689785394,0.18328475628584415,0.0672078294974407,0.13139956612248146,0.22198238666930917,0.2279815436203584,0.20144494585991155,0.09193997282304978,0.08823177071689778,0.309724191738664,0.032474641308198396,0.05553216567086445,0.04352185894927019,0.03670907906042102,0.03323204035705887
