,"sigma_freq = 0.1, run =0","sigma_freq = 0.1, run =1","sigma_freq = 0.1, run =2","sigma_freq = 0.1, run =3","sigma_freq = 0.1, run =4","sigma_freq = 0.2, run =0","sigma_freq = 0.2, run =1","sigma_freq = 0.2, run =2","sigma_freq = 0.2, run =3","sigma_freq = 0.2, run =4","sigma_freq = 0.30000000000000004, run =0","sigma_freq = 0.30000000000000004, run =1","sigma_freq = 0.30000000000000004, run =2","sigma_freq = 0.30000000000000004, run =3","sigma_freq = 0.30000000000000004, run =4","sigma_freq = 0.4, run =0","sigma_freq = 0.4, run =1","sigma_freq = 0.4, run =2","sigma_freq = 0.4, run =3","sigma_freq = 0.4, run =4","sigma_freq = 0.5, run =0","sigma_freq = 0.5, run =1","sigma_freq = 0.5, run =2","sigma_freq = 0.5, run =3","sigma_freq = 0.5, run =4","sigma_freq = 0.6000000000000001, run =0","sigma_freq = 0.6000000000000001, run =1","sigma_freq = 0.6000000000000001, run =2","sigma_freq = 0.6000000000000001, run =3","sigma_freq = 0.6000000000000001, run =4","sigma_freq = 0.7000000000000001, run =0","sigma_freq = 0.7000000000000001, run =1","sigma_freq = 0.7000000000000001, run =2","sigma_freq = 0.7000000000000001, run =3","sigma_freq = 0.7000000000000001, run =4","sigma_freq = 0.8, run =0","sigma_freq = 0.8, run =1","sigma_freq = 0.8, run =2","sigma_freq = 0.8, run =3","sigma_freq = 0.8, run =4","sigma_freq = 0.9, run =0","sigma_freq = 0.9, run =1","sigma_freq = 0.9, run =2","sigma_freq = 0.9, run =3","sigma_freq = 0.9, run =4","sigma_freq = 1.0, run =0","sigma_freq = 1.0, run =1","sigma_freq = 1.0, run =2","sigma_freq = 1.0, run =3","sigma_freq = 1.0, run =4","sigma_freq = 1.1, run =0","sigma_freq = 1.1, run =1","sigma_freq = 1.1, run =2","sigma_freq = 1.1, run =3","sigma_freq = 1.1, run =4","sigma_freq = 1.2000000000000002, run =0","sigma_freq = 1.2000000000000002, run =1","sigma_freq = 1.2000000000000002, run =2","sigma_freq = 1.2000000000000002, run =3","sigma_freq = 1.2000000000000002, run =4","sigma_freq = 1.3, run =0","sigma_freq = 1.3, run =1","sigma_freq = 1.3, run =2","sigma_freq = 1.3, run =3","sigma_freq = 1.3, run =4","sigma_freq = 1.4000000000000001, run =0","sigma_freq = 1.4000000000000001, run =1","sigma_freq = 1.4000000000000001, run =2","sigma_freq = 1.4000000000000001, run =3","sigma_freq = 1.4000000000000001, run =4","sigma_freq = 1.5, run =0","sigma_freq = 1.5, run =1","sigma_freq = 1.5, run =2","sigma_freq = 1.5, run =3","sigma_freq = 1.5, run =4","sigma_freq = 1.6, run =0","sigma_freq = 1.6, run =1","sigma_freq = 1.6, run =2","sigma_freq = 1.6, run =3","sigma_freq = 1.6, run =4","sigma_freq = 1.7000000000000002, run =0","sigma_freq = 1.7000000000000002, run =1","sigma_freq = 1.7000000000000002, run =2","sigma_freq = 1.7000000000000002, run =3","sigma_freq = 1.7000000000000002, run =4","sigma_freq = 1.8, run =0","sigma_freq = 1.8, run =1","sigma_freq = 1.8, run =2","sigma_freq = 1.8, run =3","sigma_freq = 1.8, run =4","sigma_freq = 1.9000000000000001, run =0","sigma_freq = 1.9000000000000001, run =1","sigma_freq = 1.9000000000000001, run =2","sigma_freq = 1.9000000000000001, run =3","sigma_freq = 1.9000000000000001, run =4","sigma_freq = 2.0, run =0","sigma_freq = 2.0, run =1","sigma_freq = 2.0, run =2","sigma_freq = 2.0, run =3","sigma_freq = 2.0, run =4"
Number of errors,0.0,3.0,2.0,0.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,4.0,7.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,14.0,0.0,4.0,1.0,1.0,0.0,3.0,2.0,3.0,1.0,4.0,2.0,10.0,5.0,3.0,0.0,0.0,0.0,2.0,1.0,5.0,4.0,6.0,1.0,4.0,8.0,5.0,8.0,9.0,7.0,2.0,3.0,7.0,4.0,3.0,3.0,4.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,6.0,4.0,3.0,3.0,2.0,1.0,2.0,0.0,7.0,8.0,6.0,4.0,8.0,3.0,2.0,7.0,4.0,6.0,2.0,2.0,6.0,6.0,6.0,1.0,1.0,3.0,4.0,3.0
Error rate,0.0,6.666666666666667,4.444444444444445,0.0,6.666666666666667,2.2222222222222223,2.2222222222222223,13.333333333333334,2.2222222222222223,2.2222222222222223,2.2222222222222223,8.88888888888889,15.555555555555555,4.444444444444445,2.2222222222222223,6.666666666666667,4.444444444444445,4.444444444444445,6.666666666666667,6.666666666666667,0.0,2.2222222222222223,4.444444444444445,0.0,0.0,31.11111111111111,0.0,8.88888888888889,2.2222222222222223,2.2222222222222223,0.0,6.666666666666667,4.444444444444445,6.666666666666667,2.2222222222222223,8.88888888888889,4.444444444444445,22.22222222222222,11.11111111111111,6.666666666666667,0.0,0.0,0.0,4.444444444444445,2.2222222222222223,11.11111111111111,8.88888888888889,13.333333333333334,2.2222222222222223,8.88888888888889,17.77777777777778,11.11111111111111,17.77777777777778,20.0,15.555555555555555,4.444444444444445,6.666666666666667,15.555555555555555,8.88888888888889,6.666666666666667,6.666666666666667,8.88888888888889,13.333333333333334,4.444444444444445,4.444444444444445,4.444444444444445,4.444444444444445,4.444444444444445,4.444444444444445,6.666666666666667,11.11111111111111,11.11111111111111,13.333333333333334,8.88888888888889,6.666666666666667,6.666666666666667,4.444444444444445,2.2222222222222223,4.444444444444445,0.0,15.555555555555555,17.77777777777778,13.333333333333334,8.88888888888889,17.77777777777778,6.666666666666667,4.444444444444445,15.555555555555555,8.88888888888889,13.333333333333334,4.444444444444445,4.444444444444445,13.333333333333334,13.333333333333334,13.333333333333334,2.2222222222222223,2.2222222222222223,6.666666666666667,8.88888888888889,6.666666666666667
Area under ROC curve,1.0,0.8814229249011858,0.9150197628458498,1.0,0.8932806324110673,0.9662698412698413,0.9662698412698413,0.8273809523809524,0.9583333333333334,0.9702380952380952,0.9655172413793104,0.8577586206896551,0.6767241379310345,0.9310344827586207,0.9806034482758621,0.894,0.92,0.924,0.918,0.898,1.0,0.9473684210526315,0.9291497975708503,1.0,1.0,0.7757936507936508,1.0,0.9027777777777778,0.9523809523809523,0.9781746031746033,1.0,0.9820000000000001,0.974,0.924,0.994,0.9138655462184874,0.9915966386554622,0.8004201680672268,0.8718487394957982,0.9684873949579832,1.0,1.0,1.0,0.9444444444444444,0.9523809523809523,0.9209486166007905,0.932806324110672,0.8873517786561266,0.9960474308300395,0.9703557312252965,0.8971193415637861,0.8744855967078189,0.8950617283950618,0.897119341563786,0.8374485596707819,0.99,0.976,0.88,0.9239999999999999,0.9299999999999999,0.8968253968253969,0.9503968253968255,0.9107142857142857,0.9345238095238095,0.988095238095238,0.9736842105263158,0.9757085020242916,0.9473684210526316,0.9352226720647773,0.9271255060728745,0.9209486166007905,0.9090909090909091,0.9051383399209486,0.9288537549407115,0.9189723320158103,0.9149797570850202,0.9635627530364372,0.9919028340080972,0.9757085020242916,1.0,0.8412698412698413,0.8373015873015873,0.8968253968253967,0.9365079365079364,0.9027777777777778,0.9801587301587302,0.9781746031746033,0.8630952380952381,0.9761904761904763,0.876984126984127,0.9841269841269842,0.9801587301587302,0.9126984126984128,0.89484126984127,0.9365079365079365,0.95,0.988,0.926,0.89,0.9139999999999999
Best f1 score,1.0,0.9302325581395349,0.9565217391304348,1.0,0.9302325581395349,0.975609756097561,0.975609756097561,0.8500000000000001,0.9767441860465117,0.975609756097561,0.9696969696969697,0.8666666666666666,0.7407407407407406,0.9375,0.967741935483871,0.9189189189189189,0.9473684210526316,0.9500000000000001,0.9230769230769231,0.9189189189189189,1.0,0.9811320754716981,0.9615384615384616,1.0,1.0,0.7741935483870968,1.0,0.9090909090909091,0.9795918367346939,0.9787234042553191,1.0,0.9433962264150945,0.9583333333333334,0.9387755102040817,0.9795918367346939,0.9259259259259259,0.9655172413793104,0.8437499999999999,0.9056603773584904,0.9433962264150945,1.0,1.0,1.0,0.9583333333333334,0.9795918367346939,0.8780487804878049,0.9047619047619048,0.8695652173913043,0.9767441860465117,0.9130434782608695,0.8095238095238096,0.8387096774193548,0.8095238095238096,0.8,0.7586206896551725,0.96,0.9387755102040817,0.8727272727272728,0.923076923076923,0.9433962264150945,0.9268292682926829,0.909090909090909,0.8750000000000001,0.9523809523809523,0.9523809523809523,0.9444444444444444,0.9444444444444444,0.9473684210526315,0.9473684210526315,0.9142857142857143,0.8717948717948718,0.8979591836734693,0.88,0.9047619047619048,0.9302325581395349,0.918918918918919,0.9444444444444444,0.972972972972973,0.9444444444444444,1.0,0.8571428571428571,0.8400000000000001,0.8750000000000001,0.9130434782608696,0.8400000000000001,0.9333333333333333,0.9565217391304348,0.8679245283018867,0.9199999999999999,0.888888888888889,0.9600000000000001,0.9600000000000001,0.8799999999999999,0.8799999999999999,0.888888888888889,0.9803921568627451,0.9795918367346939,0.9361702127659575,0.9166666666666666,0.9387755102040817
Threshold for best f1 score,0.06403964012861252,0.336224228143692,0.26102349162101746,0.058045051991939545,0.504611611366272,0.28793516755104065,0.2186787873506546,0.20434509217739105,0.22921322286128998,0.27712613344192505,0.12833541631698608,0.4020829200744629,0.5159876346588135,0.3405740261077881,0.10132862627506256,0.2517416179180145,0.400067001581192,0.23437687754631042,0.22501477599143982,0.3468717932701111,0.07025197148323059,0.11864995956420898,0.07904371619224548,0.060796141624450684,0.06285838782787323,0.03344593197107315,0.05963769927620888,0.5206804871559143,0.060662642121315,0.13705682754516602,0.07317838817834854,0.03682431951165199,0.31770992279052734,0.07953983545303345,0.0648994892835617,0.2893880009651184,0.047117818146944046,0.04106077551841736,0.17525207996368408,0.2743416428565979,0.08357906341552734,0.07969307899475098,0.08421990275382996,0.16751833260059357,0.12605080008506775,0.19045524299144745,0.06602203100919724,0.03543815761804581,0.062360163778066635,0.040696967393159866,0.04060073569417,0.45994406938552856,0.04344410449266434,0.03822048753499985,0.46714967489242554,0.0475640632212162,0.06075694411993027,0.04658634215593338,0.04886610433459282,0.04335873946547508,0.3209049105644226,0.05237337946891785,0.041824597865343094,0.27522146701812744,0.048854295164346695,0.06858498603105545,0.06724052876234055,0.09782896190881729,0.0855792686343193,0.07081661373376846,0.18349453806877136,0.0406549833714962,0.039916619658470154,0.18346859514713287,0.2362281233072281,0.19845464825630188,0.1830512285232544,0.6608846783638,0.6027393937110901,0.05899956822395325,0.045336514711380005,0.044573742896318436,0.04841258004307747,0.054562315344810486,0.05378779023885727,0.15979263186454773,0.12823748588562012,0.03772218897938728,0.05212945491075516,0.03599774092435837,0.04732849448919296,0.053916219621896744,0.050865061581134796,0.052780088037252426,0.05095585435628891,0.08384135365486145,0.07303870469331741,0.10498981922864914,0.06554906070232391,0.0741645097732544
Threshold range for >90.0% of best f1 score,"[0.058086757, 0.9364827]","[0.19491611, 0.7970018]","[0.08818606, 0.8854022]","[0.04523567, 0.9394856]","[0.2807122, 0.89947677]","[0.056160487, 0.87795866]","[0.054874294, 0.8918378]","[0.050126918, 0.8924682]","[0.055637274, 0.7589517]","[0.13486348, 0.82674307]","[0.08299451, 0.9500452]","[0.27404314, 0.82423896]","[0.33311996, 0.78093964]","[0.14699326, 0.94166183]","[0.047469046, 0.93474394]","[0.09350787, 0.8347405]","[0.07140026, 0.86994374]","[0.12776175, 0.94578767]","[0.06906681, 0.9398406]","[0.07979498, 0.69465804]","[0.06057, 0.93507886]","[0.05179439, 0.9244656]","[0.0513556, 0.941338]","[0.03963072, 0.9410488]","[0.052560836, 0.9395172]","[0.015908308, 0.38620555]","[0.05836478, 0.9271835]","[0.14783384, 0.8420946]","[0.049487274, 0.85101664]","[0.05220875, 0.8862251]","[0.053542234, 0.93456256]","[0.034290828, 0.8898159]","[0.03889752, 0.9146354]","[0.036553774, 0.9444677]","[0.039617747, 0.90639424]","[0.023282403, 0.8856167]","[0.029546928, 0.8783429]","[0.013671505, 0.32722208]","[0.027299434, 0.94065845]","[0.03368855, 0.88320315]","[0.052151263, 0.9367313]","[0.045957997, 0.9350946]","[0.05117483, 0.93542105]","[0.049064353, 0.9370348]","[0.054954126, 0.9409085]","[0.032319244, 0.8220177]","[0.032610923, 0.9423816]","[0.03220567, 0.41792542]","[0.03414215, 0.90988046]","[0.032328557, 0.7557696]","[0.031953994, 0.043680843]","[0.11030635, 0.80713916]","[0.027552567, 0.24352375]","[0.02994275, 0.5985979]","[0.027247084, 0.6997822]","[0.034237348, 0.8124765]","[0.035699394, 0.8925455]","[0.026218103, 0.05268865]","[0.039170355, 0.8992016]","[0.031438835, 0.23800296]","[0.05803442, 0.9001087]","[0.029220494, 0.05812922]","[0.03024886, 0.058332216]","[0.058186572, 0.91199887]","[0.033028577, 0.84498835]","[0.05328217, 0.88943815]","[0.04389079, 0.88662374]","[0.051019166, 0.9328485]","[0.05505936, 0.93334323]","[0.046877246, 0.91937184]","[0.031565484, 0.81297]","[0.03149446, 0.207748]","[0.03426944, 0.047175255]","[0.036744967, 0.9366338]","[0.05496996, 0.8765641]","[0.054859206, 0.79075855]","[0.055923976, 0.739242]","[0.053502757, 0.8755563]","[0.04722352, 0.8610573]","[0.053648967, 0.8503168]","[0.031414714, 0.053597983]","[0.030855713, 0.051634267]","[0.031566266, 0.056631453]","[0.035082743, 0.058221675]","[0.036854293, 0.49167153]","[0.030107586, 0.71147054]","[0.036792252, 0.7356261]","[0.022319168, 0.053277418]","[0.025752636, 0.776623]","[0.025990695, 0.050619185]","[0.033954963, 0.05930785]","[0.03241254, 0.5487894]","[0.027519805, 0.7760293]","[0.03542096, 0.5971428]","[0.03876239, 0.3104521]","[0.055977874, 0.8596361]","[0.046393223, 0.8046406]","[0.05480104, 0.8101098]","[0.04686851, 0.8518843]","[0.059197024, 0.8452456]"
