,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Maximum absolute deviation,0.007920857518911362,0.02426934987306595,0.03378302603960037,0.005782410502433777,0.01897207647562027,0.018169907853007317,0.007081940770149231,0.012042418122291565,0.01006937026977539
Mean absolute deviation,0.0033115805126726627,0.005805482622236013,0.011243538931012154,0.002590871648862958,0.009187264367938042,0.006810846738517284,0.0028943349607288837,0.006219659000635147,0.004655938595533371
Maximum relative deviation (%),67.0608901977539,110.54607391357422,1254.5313720703125,17.6143856048584,135.5167694091797,115.98597717285156,20.103240966796875,21.708681106567383,38.76824188232422
Mean relative deviation (%),11.816977500915527,21.1513614654541,144.1649627685547,5.26096248626709,26.63893699645996,21.54107666015625,7.3974504470825195,8.770033836364746,10.67775821685791
Correlation,0.9985860184442412,0.9889907561738336,0.98014391080748,0.9996823546371124,0.9982192387613508,0.9916840687934825,0.999283865576378,0.9969369850712329,0.9998083005925578
