,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Area between predicted and true coupling function,0.7209173285987245,0.13764379725945045,0.8751998610437406,0.11037623430305071,0.22094741348281927,0.12651164781667704,0.07968379322636354,0.5712126621476568,0.1407981555518154
Area between true coupling function and axis,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704
Area ratio,0.18022948067942282,0.03441097767345082,0.2188001455773239,0.027594081316447246,0.05523689889223822,0.03162793801921393,0.019920964723748245,0.14280328322318112,0.03519956789643076
