,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Number of errors,0.0,1.0,4.0,0.0,2.0,2.0,0.0,4.0,1.0
Error rate,0.0,2.2222222222222223,8.88888888888889,0.0,4.444444444444445,4.444444444444445,0.0,8.88888888888889,2.2222222222222223
Area under ROC curve,1.0,0.937142857142857,0.859447004608295,1.0,0.9094650205761314,0.9423868312757202,1.0,0.9054054054054054,0.8
Best f1 score,1.0,0.9473684210526316,0.8461538461538461,1.0,0.9629629629629629,0.9615384615384615,1.0,0.9428571428571428,0.9876543209876543
Threshold for best f1 score,0.11699763685464859,0.2794416546821594,0.503386378288269,0.0553395114839077,0.2981628477573395,0.3286304473876953,0.07191634923219681,0.31236499547958374,0.07656824588775635
Threshold range for >90.0% of best f1 score,"[0.1074071, 0.11699764]","[0.05877516, 0.6994599]","[0.3908584, 0.6159848]","[0.047399297, 0.94383895]","[0.13199677, 0.86366147]","[0.18339305, 0.8645825]","[0.043436386, 0.93430555]","[0.016854431, 0.79573923]","[0.05371219, 0.9339189]"
