,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Number of errors,3.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0
Error rate,6.666666666666667,4.444444444444445,0.0,2.2222222222222223,2.2222222222222223,2.2222222222222223,4.444444444444445,2.2222222222222223,0.0
Area under ROC curve,0.46825396825396826,0.9134615384615384,1.0,0.9642857142857143,0.952,0.9473684210526315,0.9333333333333333,0.98,1.0
Best f1 score,0.4,0.9230769230769231,1.0,0.9714285714285714,0.9803921568627451,0.9811320754716981,0.9655172413793104,0.9855072463768115,1.0
Threshold for best f1 score,0.44837409257888794,0.4580376148223877,0.64327073097229,0.26567304134368896,0.17536136507987976,0.2148161381483078,0.3541523218154907,0.26195085048675537,0.04334663227200508
Threshold range for >90.0% of best f1 score,"[0.4483741, 0.4483741]","[0.36815092, 0.9424111]","[0.13412882, 0.9529522]","[0.15075496, 0.8153615]","[0.06416918, 0.92148834]","[0.068385236, 0.8808487]","[0.062305357, 0.7954698]","[0.0067573413, 0.93278307]","[0.0014473973, 0.9370931]"
