,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Number of errors,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0
Error rate,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,2.2222222222222223,6.666666666666667,2.2222222222222223,2.2222222222222223,4.444444444444445
Area under ROC curve,0.9761904761904762,0.9696969696969697,0.9696969696969697,0.9600000000000001,0.9623015873015874,0.8865546218487396,0.9432773109243697,0.9831081081081081,0.9523809523809524
Best f1 score,0.8571428571428571,0.9600000000000001,0.9600000000000001,0.975609756097561,0.9787234042553191,0.9454545454545454,0.9824561403508771,0.9863013698630138,0.9767441860465117
Threshold for best f1 score,0.1250380128622055,0.2628517150878906,0.16568657755851746,0.1617775410413742,0.1725071221590042,0.37107518315315247,0.14100167155265808,0.2648485004901886,0.01759890653192997
Threshold range for >90.0% of best f1 score,"[0.12503801, 0.12503801]","[0.15173763, 0.77524793]","[0.1217123, 0.9416373]","[0.09030601, 0.9403849]","[0.06461319, 0.9137217]","[0.08674888, 0.8073992]","[0.05722625, 0.9167858]","[0.008957081, 0.9306605]","[0.017598907, 0.81911296]"
