,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Maximum absolute deviation,0.017481014132499695,0.013713367283344269,0.01979651302099228,0.016636863350868225,0.010755330324172974,0.019928433001041412,0.0112590491771698,0.034410227090120316,0.010423341765999794
Mean absolute deviation,0.006753857247531414,0.004576716106384993,0.008725697174668312,0.008298571221530437,0.004639015533030033,0.008795339614152908,0.005200990941375494,0.009880634024739265,0.0032312809489667416
Maximum relative deviation (%),60.14911651611328,17.08452606201172,38.522369384765625,52.00954818725586,31.546205520629883,78.31646728515625,17.97491455078125,120.12979888916016,208.31324768066406
Mean relative deviation (%),16.217754364013672,8.640510559082031,17.603879928588867,12.787409782409668,10.305715560913086,21.207204818725586,7.922633171081543,19.37738800048828,25.37421989440918
Correlation,0.9966197733528153,0.9982802858982066,0.9960899282606541,0.9970189594846957,0.9985142096970472,0.9946227396479803,0.9983774500217691,0.9942245213898325,0.997912143162643
