,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Area between predicted and true coupling function,1.8080516351611657,0.7291821610567487,0.8472819244269632,0.5129210267365755,0.0880333876318132,0.1515097075415639,0.11342103967881804,0.17761966971466353,0.5892948060844603
Area between true coupling function and axis,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704,3.999996703541704
Area ratio,0.4520132813010242,0.1822956904967225,0.2118206556712302,0.12823036236065433,0.022008365045367684,0.037877458100756226,0.028355283287706718,0.04440495402343565,0.14732382293282464
