,"num_repeats = 10, run =0","num_repeats = 10, run =1","num_repeats = 10, run =2","num_repeats = 10, run =3","num_repeats = 10, run =4","num_repeats = 10, run =5","num_repeats = 10, run =6","num_repeats = 10, run =7","num_repeats = 10, run =8","num_repeats = 10, run =9"
Number of errors,0.0,1.0,0.0,5.0,2.0,1.0,1.0,2.0,2.0,0.0
Error rate,0.0,2.2222222222222223,0.0,11.11111111111111,4.444444444444445,2.2222222222222223,2.2222222222222223,4.444444444444445,4.444444444444445,0.0
Area under ROC curve,1.0,0.9565217391304348,1.0,0.8320158102766799,0.9150197628458498,0.9644268774703557,0.9644268774703557,0.9150197628458498,0.9169960474308301,1.0
Best f1 score,1.0,0.9767441860465117,1.0,0.8780487804878049,0.9545454545454546,0.9767441860465117,0.9767441860465117,0.9545454545454546,0.9545454545454546,1.0
Threshold for best f1 score,0.06134798750281334,0.19619815051555634,0.06896175444126129,0.522276759147644,0.4120213985443115,0.3818652331829071,0.2085150182247162,0.36469128727912903,0.14388155937194824,0.059464771300554276
Threshold range for >90.0% of best f1 score,"[0.05784591, 0.94598913]","[0.12877068, 0.9056496]","[0.05626935, 0.9432971]","[0.12758236, 0.7352874]","[0.15450066, 0.92096186]","[0.057171892, 0.829565]","[0.12273239, 0.94181883]","[0.21390735, 0.9429269]","[0.10608491, 0.9208835]","[0.052300796, 0.9423092]"
