,"num_repeats = 5, run =0","num_repeats = 5, run =1","num_repeats = 5, run =2","num_repeats = 5, run =3","num_repeats = 5, run =4","num_repeats = 5, run =5","num_repeats = 5, run =6","num_repeats = 5, run =7","num_repeats = 5, run =8","num_repeats = 5, run =9"
Number of errors,1.0,6.0,3.0,8.0,5.0,9.0,5.0,2.0,7.0,2.0
Error rate,2.2222222222222223,13.333333333333334,6.666666666666667,17.77777777777778,11.11111111111111,20.0,11.11111111111111,4.444444444444445,15.555555555555555,4.444444444444445
Area under ROC curve,0.9523809523809523,0.9007936507936508,0.9404761904761906,0.8968253968253969,0.8968253968253967,0.8373015873015873,0.9206349206349207,0.9464285714285715,0.7996031746031746,0.9821428571428572
Best f1 score,0.9795918367346939,0.888888888888889,0.9387755102040817,0.8518518518518519,0.8979591836734694,0.823529411764706,0.8979591836734694,0.9583333333333334,0.8372093023255814,0.9600000000000001
Threshold for best f1 score,0.4441072940826416,0.28448182344436646,0.4292527139186859,0.16617301106452942,0.368068665266037,0.27878648042678833,0.395826518535614,0.4376542568206787,0.438366562128067,0.36356452107429504
Threshold range for >90.0% of best f1 score,"[0.21854499, 0.52652955]","[0.0340199, 0.45549273]","[0.16126098, 0.5266702]","[0.037785664, 0.5159086]","[0.043690883, 0.41692984]","[0.034026366, 0.46325856]","[0.032693986, 0.54632735]","[0.18765472, 0.5029822]","[0.21897148, 0.5213253]","[0.22869982, 0.5417371]"
