,"num_repeats = 30, run =0","num_repeats = 30, run =1","num_repeats = 30, run =2","num_repeats = 30, run =3","num_repeats = 30, run =4","num_repeats = 30, run =5","num_repeats = 30, run =6","num_repeats = 30, run =7","num_repeats = 30, run =8","num_repeats = 30, run =9"
Number of errors,2.0,2.0,4.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0
Error rate,4.444444444444445,4.444444444444445,8.88888888888889,0.0,4.444444444444445,2.2222222222222223,6.666666666666667,2.2222222222222223,2.2222222222222223,4.444444444444445
Area under ROC curve,0.9341563786008231,0.9341563786008231,0.9423868312757202,1.0,0.9362139917695474,0.9629629629629629,0.8909465020576132,0.9691358024691359,0.9670781893004115,0.9609053497942386
Best f1 score,0.9444444444444444,0.9444444444444444,0.9,1.0,0.9444444444444444,0.9714285714285714,0.9090909090909091,0.9714285714285714,0.9714285714285714,0.9411764705882353
Threshold for best f1 score,0.2805851399898529,0.3153811991214752,0.04171966761350632,0.07183375954627991,0.30972984433174133,0.16024141013622284,0.4517945647239685,0.23989398777484894,0.2598744034767151,0.23148523271083832
Threshold range for >90.0% of best f1 score,"[0.10119082, 0.7387248]","[0.14916317, 0.76613224]","[0.037621893, 0.046713144]","[0.050028015, 0.9446776]","[0.112525344, 0.86007625]","[0.076294504, 0.9054643]","[0.22445846, 0.7723002]","[0.180425, 0.9443879]","[0.07410166, 0.8939751]","[0.070525855, 0.866533]"
