,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Number of errors,1.0,0.0,0.0,2.0,1.0,3.0,0.0,3.0,3.0
Error rate,2.2222222222222223,0.0,0.0,4.444444444444445,2.2222222222222223,6.666666666666667,0.0,6.666666666666667,6.666666666666667
Area under ROC curve,0.9761904761904762,1.0,1.0,0.8933333333333334,0.9642857142857144,0.8947368421052632,1.0,0.9199999999999999,0.8372093023255814
Best f1 score,0.8571428571428571,1.0,1.0,0.9285714285714286,0.9787234042553191,0.9411764705882353,1.0,0.955223880597015,0.9655172413793104
Threshold for best f1 score,0.3725997805595398,0.0729949027299881,0.05979466065764427,0.30642807483673096,0.22537124156951904,0.31255725026130676,0.06285537034273148,0.3995739817619324,0.017877092584967613
Threshold range for >90.0% of best f1 score,"[0.37259978, 0.37259978]","[0.069433585, 0.94357187]","[0.047697775, 0.94355994]","[0.08292861, 0.8536567]","[0.06223817, 0.93175477]","[0.11155874, 0.74131423]","[0.043036465, 0.93555295]","[0.019777453, 0.88713676]","[0.017877093, 0.6332573]"
