,p_erdos_renyi = 0.1,p_erdos_renyi = 0.2,p_erdos_renyi = 0.3,p_erdos_renyi = 0.4,p_erdos_renyi = 0.5,p_erdos_renyi = 0.6,p_erdos_renyi = 0.7,p_erdos_renyi = 0.8,p_erdos_renyi = 0.9
Maximum absolute deviation,0.018181096762418747,0.012578710913658142,0.008709266781806946,0.010265318676829338,0.01000639796257019,0.012390974909067154,0.004766806960105896,0.028683088719844818,0.017557255923748016
Mean absolute deviation,0.0042150854133069515,0.002840694272890687,0.003346021519973874,0.0051666987128555775,0.004183768294751644,0.005888030398637056,0.002812699880450964,0.011539915576577187,0.007615766488015652
Maximum relative deviation (%),32.252410888671875,42.39844512939453,7.078638553619385,72.32097625732422,64.21141052246094,21.35517692565918,5.543310642242432,35.46448516845703,561.6116943359375
Mean relative deviation (%),6.923696994781494,6.197895526885986,3.946585178375244,16.938495635986328,15.766067504882812,8.613706588745117,3.3852641582489014,22.118427276611328,81.3493881225586
Correlation,0.9978958112525845,0.9995204664078606,0.9998820821578491,0.998654371733219,0.9986847170805548,0.9975935871032339,0.9998136231174047,0.9880674794491229,0.991944772423729
